,AirLine,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage
293,OpenSkies [no longer operating],40,35,30,35,35,35,40,40,35
294,Orbest (no longer operating),25,30,25,30,35,30,35,35,30
295,Pacific Coastal Airlines,30,30,20,30,35,35,40,40,30
296,Pakistan International Airlines,30,30,20,25,30,30,30,30,30
297,PAL Airlines (Canada),35,35,20,40,45,35,35,35,35
29,Pascan,25,30,20,,45,45,45,50,25
298,Passaredo Linhas A?reas,30,30,20,30,35,35,35,35,25
299,PAWA Dominicana [no longer operating],30,30,20,35,30,30,30,30,30
300,Peach Aviation,25,25,15,25,30,35,35,30,25
301,Pegas Fly,30,30,15,25,35,30,35,35,30
302,Pegasus Airlines,30,30,15,25,30,35,35,35,25
303,Penobscot Island Air,45,45,40,50,50,50,50,50,50
304,People's Airline,40,40,25,50,45,40,45,45,45
305,Peruvian Airlines [no longer operating],30,25,15,25,25,30,30,30,25
306,Philippine Airlines (PAL),35,35,30,30,35,35,40,35,35
307,Plus Ultra Lineas Aereas,30,25,15,25,30,25,30,25,30
308,PNG Air,35,35,15,25,30,30,35,30,25
309,Pobeda,30,30,15,20,30,35,40,35,20
93,Porter Airlines,35,35,20,35,40,40,40,40,40
310,Precision Air,30,30,15,25,30,30,35,30,30
311,Primera Air [no longer operating],30,30,15,25,30,30,35,30,25
312,Proflight Zambia,35,35,20,40,45,35,40,40,30
94,Qantas,35,35,35,35,40,35,40,40,35
95,Qatar Airways,40,40,40,40,40,40,45,40,40
313,QAZAQ AIR,30,30,15,20,30,30,30,30,30
314,Qeshm Airlines,35,35,15,40,35,35,35,35,35
315,Qingdao Airlines,40,40,30,30,35,40,45,40,35
316,Ravn Alaska,30,25,20,35,30,30,30,30,30
317,REALtonga,25,25,10,15,25,20,30,25,10
318,Red Wings,30,30,20,25,35,35,40,35,30
319,Regent Airways,30,30,15,30,30,35,30,35,30
320,Regional Air,30,35,15,10,25,35,40,35,30
321,Regional Express Airlines,35,35,20,40,45,35,40,45,35
96,Rossiya Russian Airlines,35,35,20,30,40,35,40,40,30
322,Royal Air Maroc,30,30,25,25,30,30,30,30,30
97,Royal Brunei Airlines,40,40,35,40,40,40,45,40,40
323,Royal Jordanian,35,35,30,30,35,35,35,35,30
30,Ruili Airlines,35,40,20,,40,35,40,40,35
324,RusLine,30,30,20,25,30,30,35,35,25
98,RwandAir,40,35,30,35,40,40,45,40,35
325,Ryanair,30,30,15,25,30,35,35,30,25
99,S7 airlines,35,35,25,35,40,40,40,40,35
326,Safarilink,35,35,20,40,40,40,40,40,30
327,Safi Airways,40,40,15,30,35,40,40,40,40
