,AirLine,country,totalScore,reviews,excellent,veryGood,average,poor,terrible,
346,LATAM Airlines,chile,35,40129,10250,13557,8159,3584,4582,
347,Latin American Wings [no longer operating],chile,20,30,3,0,4,4,19,
348,Laudamotion,ireland,25,1642,253,318,238,159,674,
349,LCPeru,peru,25,306,30,53,50,24,149,
350,LEVEL,spain,30,2485,599,522,278,187,900,
351,LIAT, ,25,435,61,94,70,41,169,
352,Libyan Airlines,libya,30,24,3,4,11,4,2,
353,Link Airways,australia,50,61,51,8,2,0,0,
354,Lion Air,indonesia,25,2097,167,449,664,308,509,
355,Loganair, ,40,468,251,87,26,21,83,
356,Longjiang - LJ Air,china,20,1,0,0,0,1,0,
357,Loong Air,china,40,5,3,0,2,0,0,
358,LOT Polish Airlines,poland,30,5490,1153,1423,919,573,1422,
359,Lucky Air,china,30,53,6,13,13,7,14,
360,Lufthansa,germany,35,37232,13423,11463,4802,2544,5002,
361,Luxair,luxembourg,40,1658,816,550,117,64,111,
362,Magnicharters,mexico,45,379,202,118,33,10,16,
363,Mahan Air, ,40,541,164,213,97,26,41,
364,Malaysia Airlines,malaysia,35,7675,1590,2412,1716,781,1177,
365,Maldivian, ,30,89,15,23,21,11,19,
366,Malindo Air,malaysia,30,3722,798,1101,602,294,927,
367,Mandarin Airlines,taiwan,40,86,27,39,15,2,3,
368,Mango,south africa,35,1271,307,441,248,93,182,
369,Mann Yadanarpon Airlines,myanmar,40,112,47,45,13,3,4,
370,Manta Air, ,45,25,18,4,1,1,1,
371,Mauritania Airlines,mauritania,25,6,0,2,1,1,2,
372,Maya Island Air,belize,40,226,131,35,21,8,31,
373,Mayair,mexico,35,46,16,14,2,0,14,
374,MIAT Mongolian Airlines,mongolia,35,212,51,77,51,12,21,
375,Middle East Airlines,lebanon,40,830,306,278,95,40,111,
376,Mistral Air,italy,25,301,31,83,56,36,95,
377,Mokulele Airlines,hawaii,40,192,116,34,6,7,29,
378,Monacair,monaco,40,1,0,1,0,0,0,
379,Monarch [no longer operating], ,40,3144,1216,1118,441,186,183,
380,Montenegro Airlines,montenegro,30,347,60,102,69,41,75,
381,Myanmar Airways International,thailand,40,81,27,42,7,2,3,
382,Myanmar National Airlines,myanmar,40,183,59,75,32,6,11,
383,MyWay Airlines,georgia,35,8,5,0,0,0,3,
384,Nam Air,indonesia,30,38,3,11,11,3,10,
385,Nature Air (no longer operating),costa rica,10,27,0,0,0,0,27,
386,Nauru Airlines,nauru,35,50,11,16,9,8,6,
387,NEOS,italy,35,4685,1642,1439,587,337,680,
388,Nepal Airlines,nepal,35,252,79,67,46,18,42,
389,Nesma Airlines Egypt,egypt,40,5,2,1,2,0,0,
390,NewLeaf [no longer operating - merged into Flair Airlines],canada,15,106,8,9,6,5,78,
391,Nextjet [no longer operating],sweden,30,42,4,17,8,4,9,
392,Niki [no longer operating],austria,30,704,138,196,151,83,136,
393,Nile Air,egypt,30,288,65,67,53,24,79,
394,Nok Air,thailand,35,1382,390,488,186,57,261,
395,NokScoot,thailand,30,232,36,82,40,15,59,
396,Nordica,estonia,35,107,30,27,25,11,14,
397,Nordstar Airlines,russia,35,277,110,65,33,24,46,
398,Nordwind Airlines,russia,30,1474,264,314,295,163,438,
399,Norwegian,norway,35,28274,8875,8481,3523,2067,5328,
400,Nouvel Air Tunise,tunisia,25,1023,87,216,224,111,385,
401,NOVOAIR,bangladesh,35,68,22,26,8,2,10,
402,Okay Airways,china,35,23,1,13,6,2,1,
403,Olympic Air [NOT Olympus Airways],greece,35,1031,363,280,127,59,202,
404,Oman Air,oman,35,4682,1376,1508,699,366,734,
405,Onur Air,turkey,20,1558,133,247,210,168,800,
406,OpenSkies [no longer operating],france,35,110,21,40,23,11,15,
407,Orbest (no longer operating),portugal,35,349,47,112,124,32,34,
408,Pacific Coastal Airlines,canada,35,162,56,39,13,9,45,
409,Pakistan International Airlines,pakistan,25,469,76,82,91,42,178,
410,PAL Airlines (Canada),canada,35,28,10,10,1,1,6,
411,Pascan,canada,30,14,3,5,0,1,5,
