,AirLine,country,totalScore,reviews,Legroom,Seat comfort,"In-flight entertainment (WiFi, TV, movies)",Onboard Experience,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and beverage,excellent,veryGood,average,poor,terrible
255, Flynas,saudi arabia,30,443,25,30,15,25,30,30,35,35,25,44,110,126,46,117
256, FLYONE,moldova,15,246,25,25,15,20,20,20,30,20,25,16,16,10,13,191
257, FlyPelican,australia,40,22,35,40,20,,40,35,40,40,25,9,8,1,0,4
258, FlySafair,south africa,40,999,35,35,20,40,40,40,40,40,35,453,310,91,39,106
259, FMIAir,myanmar,40,9,40,40,25,40,45,40,45,50,50,3,4,2,0,0
260, French bee,france,35,2227,35,35,35,35,35,35,40,35,35,745,573,124,111,677
261, Frontier Airlines,united states,25,18070,25,25,15,25,30,30,35,30,20,2407,2780,2303,1975,8609
262, Fuji Dream Airlines,japan,40,95,40,40,25,40,40,40,40,40,30,29,53,10,2,1
263, Fuzhou Airlines,china,30,5,35,40,25,40,35,30,30,30,20,0,1,3,0,1
264, Garuda Indonesia,indonesia,40,8036,40,40,40,40,40,40,45,40,40,3876,2712,712,299,437
265, Georgian Airways,georgia,30,515,35,35,20,30,30,35,40,35,30,120,133,81,43,138
266, Germania Airlines [no longer operating],germany,40,2539,35,35,35,40,45,40,45,40,40,1292,716,225,99,207
267, Germanwings [Merged into Eurowings],germany,35,461,35,35,20,30,35,35,40,35,30,92,176,97,42,54
268, GLO Airlines (no longer operating),united states,50,8,45,45,25,50,50,50,50,50,45,7,1,0,0,0
269, GoAir,india,30,1498,30,30,20,30,30,30,35,35,25,252,370,265,109,502
270, GOL Airlines,brazil,35,17174,30,30,25,30,35,35,40,40,25,3521,6396,5042,1286,930
271, Golden Myanmar Airlines,myanmar,40,58,35,40,20,40,40,40,40,40,35,21,25,6,2,4
272, Grand China Air,china,45,10,35,35,25,35,40,40,40,40,40,5,3,2,0,0
273, Great Dane,denmark,40,10,40,40,25,,45,45,45,45,40,6,2,1,0,1
274, Groupe Transair,senegal,40,12,35,35,25,,45,30,40,45,40,3,7,0,1,1
275, Gulf Air,bahrain,30,1549,35,35,30,35,35,35,35,35,35,362,413,288,133,353
276, Gum Air,suriname,40,2,40,40,50,50,40,,,,,0,2,0,0,0
277, GX Airlines,china,30,5,40,40,25,10,30,30,40,35,30,2,0,0,3,0
278, Hainan Airlines,china,35,1406,40,35,35,35,40,40,40,40,35,515,405,201,99,186
279, Hawaiian Airlines,united states,40,7771,40,35,35,35,40,35,40,40,35,3202,2127,1089,566,787
280, Hebei Airlines,china,35,11,35,35,25,20,35,35,40,40,35,1,4,4,1,1
281, Helvetic Airways,switzerland,40,267,35,35,20,35,40,40,45,40,35,101,108,32,18,8
